rank,processor,rating,antutu10,geekbench6,cores,clock,gpu,company,processor_key
181,Exynos 850,23 D,183771,222 / 868,8 (8),2000 MHz,Mali-G52 MP1,Samsung,exynos 850
182,Helio P70,23 D,233983,329 / 1066,8 (4+4),2100 MHz,Mali-G72 MP3,MediaTek,helio p70
183,Kirin 710,23 D,249206,354 / 1193,8 (4+4),2200 MHz,Mali-G51 MP4,Huawei,kirin 710
184,Snapdragon 821,23 D,263454,390 / 792,4 (2+2),2342 MHz,Adreno 530,Qualcomm,snapdragon 821
185,Snapdragon 660,23 D,252006,342 / 1232,8 (4+4),2200 MHz,Adreno 512,Qualcomm,snapdragon 660
186,Kirin 960,23 D,289944,406 / 1380,8 (4+4),2360 MHz,Mali-G71 MP8,Huawei,kirin 960
187,Exynos 8890,23 D,299737,321 / 885,8 (4+4),2300 MHz,Mali-T880 MP12,Samsung,exynos 8890
188,Exynos 9610,23 D,259923,373 / 1042,8 (4+4),2300 MHz,Mali-G72 MP3,Samsung,exynos 9610
189,Helio G36,22 D,142962,229 / 842,8 (4+4),2200 MHz,PowerVR GE8320,MediaTek,helio g36
190,Helio G37,22 D,152974,205 / 911,8 (4+4),2300 MHz,PowerVR GE8320,MediaTek,helio g37
191,Helio G35,22 D,144387,189 / 810,8 (4+4),2300 MHz,PowerVR GE8320,MediaTek,helio g35
192,Helio P60,22 D,186518,299 / 1155,8 (4+4),2000 MHz,Mali-G72 MP3,MediaTek,helio p60
193,Helio P35,22 D,147723,260 / 812,8 (4+4),2300 MHz,PowerVR GE8320,MediaTek,helio p35
194,Helio G25,21 D,125125,185 / 521,8 (4+4),2000 MHz,PowerVR GE8320,MediaTek,helio g25
195,Snapdragon 820,21 D,259958,323 / 821,4 (2+2),2150 MHz,Adreno 530,Qualcomm,snapdragon 820
196,Exynos 7904,21 D,187120,286 / 937,8 (2+6),1800 MHz,Mali-G71 MP2,Samsung,exynos 7904
197,Snapdragon 636,21 D,218146,294 / 1083,8 (4+4),1800 MHz,Adreno 509,Qualcomm,snapdragon 636
198,Snapdragon 632,21 D,183418,295 / 1037,8 (4+4),1800 MHz,Adreno 506,Qualcomm,snapdragon 632
199,Exynos 7884B,20 D,155644,254 / 802,8 (2+6),1560 MHz,Mali-G71 MP2,Samsung,exynos 7884b
